Date,number_of_tweets,avg_vader_sentiment_score
2013-03-28,83,0.4761132530120482
2013-03-29,10,0.33557000000000003
2013-03-30,18,0.12934444444444443
2013-03-31,4,0.414225
2013-04-01,63,0.2994984126984127
2013-04-02,15,0.27793333333333337
2013-04-03,20,0.11055000000000001
2013-04-04,6,0.48583333333333334
2013-04-05,34,0.23178235294117647
2013-04-06,9,0.4415222222222222
2013-04-07,25,0.26884
2013-04-08,20,0.322315
2013-04-09,10,0.27258
2013-04-10,47,0.3651297872340426
2013-04-11,37,0.4080054054054054
2013-04-12,35,0.05246000000000001
2013-04-13,22,0.3804090909090909
2013-04-14,34,0.5254058823529412
2013-04-15,33,0.23033333333333336
2013-04-16,30,0.15082
2013-04-17,31,0.26707741935483875
2013-04-18,36,0.2332138888888889
2013-04-19,9,-0.03815555555555556
2013-04-20,35,0.20562857142857144
2013-04-21,23,-0.03687826086956522
2013-04-22,53,0.15966037735849056
2013-04-23,14,-0.10368571428571427
2013-04-24,68,-0.006688235294117642
2013-04-25,46,-0.0013695652173913067
2013-04-26,23,0.16553478260869564
2013-04-27,35,0.4806142857142857
2013-04-28,10,0.5523100000000001
2013-04-29,44,0.22089999999999999
2013-04-30,29,0.03820344827586208
2013-05-01,41,0.36924878048780485
2013-05-02,38,0.04530526315789475
2013-05-03,18,0.1562
2013-05-05,1,0.0
2013-05-06,10,0.39644
2013-05-07,18,-0.16681666666666667
2013-05-08,40,0.252115
2013-05-09,23,0.025695652173913033
2013-05-10,8,0.34018750000000003
2013-05-11,31,0.09330645161290323
2013-05-12,21,0.4635380952380952
2013-05-13,10,0.28615
2013-05-14,8,0.2237625
2013-05-16,36,0.21274722222222223
2013-05-17,36,0.08043333333333333
2013-05-18,1,0.0
2013-05-19,32,0.19388750000000002
2013-05-20,36,0.6799583333333333
2013-05-21,15,0.24256666666666665
2013-05-22,19,0.06408421052631579
2013-05-23,43,0.18069767441860465
2013-05-24,68,0.11074117647058823
2013-05-25,64,0.04870468750000001
2013-05-26,18,0.24295
2013-05-27,29,0.1995586206896552
2013-05-28,28,0.14487142857142857
2013-05-29,31,0.31596129032258063
2013-05-30,43,0.35491627906976747
2013-05-31,15,0.4092
2013-06-01,3,0.44616666666666666
2013-06-02,7,0.8472428571428571
2013-06-03,17,0.3875235294117647
2013-06-04,27,0.32647777777777776
2013-06-05,46,0.25682608695652176
2013-06-06,2,0.41135
2013-06-07,7,0.36242857142857143
2013-06-08,3,0.48769999999999997
2013-06-10,14,0.11575714285714286
2013-06-11,24,0.2756125
2013-06-12,32,0.23931875
2013-06-13,28,0.19870714285714283
2013-06-14,13,0.3584230769230769
2013-06-15,7,0.32307142857142856
2013-06-16,11,0.1770818181818182
2013-06-17,10,0.10293000000000001
2013-06-18,8,0.3242125
2013-06-19,27,0.4759703703703704
2013-06-20,17,0.2558941176470588
2013-06-21,15,0.3801866666666667
2013-06-22,3,0.4424333333333334
2013-06-23,3,0.4463333333333333
2013-06-24,15,0.16877999999999999
2013-06-25,20,0.314135
2013-06-26,35,0.29697142857142855
2013-06-27,21,0.16972857142857145
2013-06-28,14,0.14945000000000003
2013-06-29,16,0.20973124999999998
2013-06-30,18,0.1446888888888889
2013-07-01,40,0.043435
2013-07-02,16,0.18525625
2013-07-03,43,0.2637186046511628
2013-07-04,10,0.07955000000000001
2013-07-05,17,0.31628235294117646
2013-07-06,43,0.29018372093023254
2013-07-07,12,0.41630833333333334
2013-07-08,27,0.4358148148148148
2013-07-09,26,0.19680000000000003
2013-07-10,52,0.31862115384615386
